turbine_number,blade,code,severity_score
1,A,D,2
1,B,C,3
1,C,D,2
2,A,D,2
2,B,D,2
2,C,D,2
3,A,C,3
3,B,D,2
3,C,D,2
4,A,D,2
4,B,D,2
4,C,D,2
5,A,D,2
5,B,D,2
5,C,D,2
6,A,C,3
6,B,C,3
6,C,D,2
7,A,D,2
7,B,C,3
7,C,D,2
8,A,D,2
8,B,D,2
8,C,D,2
9,A,D,2
9,B,D,2
9,C,C,3
11,A,C,3
11,B,E,1
11,C,C,3
12,A,C,3
12,B,D,2
12,C,D,2
13,A,D,2
13,B,D,2
13,C,D,2
14,A,B,4
14,B,B,4
14,C,B,4
15,A,C,3
15,B,C,3
15,C,D,2
16,A,D,2
16,B,C,3
16,C,C,3
17,A,B,4
17,B,C,3
17,C,C,3
18,A,E,1
18,B,D,2
18,C,D,2
19,A,C,3
19,B,C,3
19,C,C,3
20,A,C,3
20,B,D,2
20,C,D,2
21,A,D,2
21,B,D,2
21,C,D,2
22,A,D,2
22,B,C,3
22,C,D,2
23,A,C,3
23,B,D,2
23,C,D,2
24,A,D,2
24,B,D,2
24,C,D,2
26,A,D,2
26,B,D,2
26,C,D,2
27,A,D,2
27,B,D,2
27,C,D,2
28,A,D,2
28,B,C,3
28,C,C,3
29,A,C,3
29,B,C,3
29,C,D,2
30,A,C,3
30,B,D,2
30,C,C,3
31,A,C,3
31,B,D,2
31,C,C,3
32,A,C,3
32,B,B,4
32,C,B,4
33,A,C,3
33,B,C,3
33,C,B,4
34,A,C,3
34,B,C,3
34,C,D,2
35,A,C,3
35,B,C,3
35,C,C,3
36,A,D,2
36,B,C,3
36,C,D,2
37,A,C,3
37,B,C,3
37,C,D,2
40,A,C,3
40,B,D,2
40,C,D,2
41,A,B,4
41,B,D,2
41,C,C,3
